"NAME [String]","METHOD [String]","regularizationType [String]","scalerType [String]","featuresColumn [String]","C [Double]","rocAuc [Double]","rocAuc_1 [Double]","rocAuc_2 [Double]","rocAuc_3 [Double]"
"data_solubility","SVC_LIN_DESC","L2","Standard","rdkit_desc","1.0E-4","0.9701509119839883","0.970811345646438","0.9617441382147265","0.9778972520908005"
"data_solubility","SVC_LIN_DESC","L1","MaxMin","cdk_desc","1.0E-4","0.5","0.5","0.5","0.5"
"data_solubility","SVC_LIN_DESC","L2","MaxMin","cdk_desc","1.0E-4","0.23030883494206197","0.24351363236587512","0.2181715343480049","0.22924133811230582"
"data_solubility","SVC_LIN_DESC","L1","Standard","cdk_desc","1.0E-4","0.5","0.5","0.5","0.5"
"data_solubility","SVC_LIN_DESC","L2","Standard","cdk_desc","1.0E-4","0.9661636042037215","0.9632805628847845","0.9632867132867133","0.9719235364396666"
"data_solubility","SVC_LIN_DESC","L1","MaxMin","rdkit_desc","0.001","0.5","0.5","0.5","0.5"
"data_solubility","SVC_LIN_DESC","L2","MaxMin","rdkit_desc","0.001","0.6463266104768413","0.6053759894459102","0.6491155902920608","0.6844882516925529"
"data_solubility","SVC_LIN_DESC","L1","Standard","rdkit_desc","0.001","0.5","0.5","0.5","0.5"
"data_solubility","SVC_LIN_DESC","L2","Standard","rdkit_desc","0.001","0.9643719601141928","0.9669085312225155","0.9572706705059646","0.968936678614098"
"data_solubility","SVC_LIN_DESC","L1","MaxMin","cdk_desc","0.001","0.4548939490184316","0.45129727352682497","0.46338955162484574","0.4499950219036241"
"data_solubility","SVC_LIN_DESC","L2","MaxMin","cdk_desc","0.001","0.8305720608810514","0.7841908531222517","0.8465137803373096","0.8610115491835927"
"data_solubility","SVC_LIN_DESC","L1","Standard","cdk_desc","0.001","0.5","0.5","0.5","0.5"
"data_solubility","SVC_LIN_DESC","L2","Standard","cdk_desc","0.001","0.9635602576066292","0.9640501319261213","0.9689942410530646","0.9576363998407016"
