"NAME [String]","METHOD [String]","regularizationType [String]","foldSize [Int]","featuresColumn [String]","scalerType [String]","C [Double]","rocAuc [Double]","rocAuc_1 [Double]","rocAuc_2 [Double]","rocAuc_3 [Double]"
"data_herg","SVC_LIN_FP","L1","1000","rdkit_fp","Standard","0.001","0.5","0.5","0.5","0.5"
"data_herg","SVC_LIN_FP","L2","1000","rdkit_fp","Standard","0.001","0.8533547742684995","0.8165441585922715","0.8656183784989404","0.8779017857142868"
"data_herg","SVC_LIN_FP","L1","1500","rdkit_fp","Standard","0.001","0.5","0.5","0.5","0.5"
"data_herg","SVC_LIN_FP","L2","1500","rdkit_fp","Standard","0.001","0.85681604630575","0.8149849649181424","0.8642801382848221","0.8911830357142855"
"data_herg","SVC_LIN_FP","L1","2000","rdkit_fp","Standard","0.001","0.5","0.5","0.5","0.5"
"data_herg","SVC_LIN_FP","L2","2000","rdkit_fp","Standard","0.001","0.8461868738365327","0.8000612540371984","0.8636667781866845","0.874832589285715"
"data_herg","SVC_LIN_FP","L1","1000","cdk_fp","Standard","0.001","0.5","0.5","0.5","0.5"
"data_herg","SVC_LIN_FP","L2","1000","cdk_fp","Standard","0.001","0.8459373891855991","0.802149459850763","0.8517341362774619","0.8839285714285723"
"data_herg","SVC_LIN_FP","L1","1500","cdk_fp","Standard","0.001","0.5","0.5","0.5","0.5"
"data_herg","SVC_LIN_FP","L2","1500","cdk_fp","Standard","0.001","0.8456048114808455","0.7947432898986523","0.8632206981153117","0.8788504464285725"
"data_herg","SVC_LIN_FP","L1","2000","cdk_fp","Standard","0.001","0.5","0.5","0.5","0.5"
"data_herg","SVC_LIN_FP","L2","2000","cdk_fp","Standard","0.001","0.842536660479667","0.7968593384563992","0.8534626965540314","0.8772879464285707"
"data_herg","SVC_LIN_FP","L1","1000","rdkit_fp","MaxMin","0.01","0.7622884170419173","0.7293128410736163","0.7972008475521355","0.7603515625000001"
"data_herg","SVC_LIN_FP","L2","1000","rdkit_fp","MaxMin","0.01","0.8396587126359192","0.8021773025949436","0.854633656741385","0.8621651785714286"
"data_herg","SVC_LIN_FP","L1","1500","rdkit_fp","MaxMin","0.01","0.7745239727597374","0.7291457846085309","0.7774060443849672","0.8170200892857141"
"data_herg","SVC_LIN_FP","L2","1500","rdkit_fp","MaxMin","0.01","0.8484705370649323","0.8093050451052464","0.8550239768038362","0.8810825892857139"
"data_herg","SVC_LIN_FP","L1","2000","rdkit_fp","MaxMin","0.01","0.7634213484512115","0.7306771355384786","0.8001840080294413","0.7594029017857143"
"data_herg","SVC_LIN_FP","L2","2000","rdkit_fp","MaxMin","0.01","0.8466670273811081","0.8015090767346028","0.8730902196944351","0.8654017857142864"
"data_herg","SVC_LIN_FP","L1","1000","cdk_fp","MaxMin","0.01","0.7589870670527993","0.717646731261833","0.7560499609679938","0.8032645089285714"
"data_herg","SVC_LIN_FP","L2","1000","cdk_fp","MaxMin","0.01","0.8336574581894168","0.7797082080409844","0.8532954165272666","0.8679687499999998"
"data_herg","SVC_LIN_FP","L1","1500","cdk_fp","MaxMin","0.01","0.7384740327695725","0.729173627352712","0.7448143191702911","0.7414341517857143"
"data_herg","SVC_LIN_FP","L2","1500","cdk_fp","MaxMin","0.01","0.8379635906321082","0.7900100233879058","0.861213337794134","0.862667410714285"
"data_herg","SVC_LIN_FP","L1","2000","cdk_fp","MaxMin","0.01","0.7584006585474444","0.7186212273081635","0.7552135608341697","0.8013671874999999"
"data_herg","SVC_LIN_FP","L2","2000","cdk_fp","MaxMin","0.01","0.8404794639809952","0.7829936518543269","0.8621612579458013","0.8762834821428569"
"data_herg","SVC_LIN_FP","L1","1000","rdkit_fp","Standard","0.01","0.8624705418310454","0.8327207929613544","0.8885915021746403","0.8660993303571415"
"data_herg","SVC_LIN_FP","L2","1000","rdkit_fp","Standard","0.01","0.8346544624140066","0.7791791959015484","0.8476636556261848","0.8771205357142867"
"data_herg","SVC_LIN_FP","L1","1500","rdkit_fp","Standard","0.01","0.8641839310388354","0.8284330103575013","0.8922437827590052","0.871875"
"data_herg","SVC_LIN_FP","L2","1500","rdkit_fp","Standard","0.01","0.8453196002665465","0.7956064149682586","0.8489461358313817","0.8914062499999993"
"data_herg","SVC_LIN_FP","L1","2000","rdkit_fp","Standard","0.01","0.8690682711423903","0.8380944425882616","0.8958681833389094","0.8732421874999997"
"data_herg","SVC_LIN_FP","L2","2000","rdkit_fp","Standard","0.01","0.8315294853378118","0.7792905668782719","0.8472733355637336","0.8680245535714296"
"data_herg","SVC_LIN_FP","L1","1000","cdk_fp","Standard","0.01","0.8522461778949199","0.8033188551063604","0.872811419649827","0.8806082589285724"
"data_herg","SVC_LIN_FP","L2","1000","cdk_fp","Standard","0.01","0.8224199283095062","0.7683483684151912","0.8219582915133266","0.8769531250000009"
"data_herg","SVC_LIN_FP","L1","1500","cdk_fp","Standard","0.01","0.8558190755790255","0.8081634925938301","0.8897345823575331","0.8695591517857133"
"data_herg","SVC_LIN_FP","L2","1500","cdk_fp","Standard","0.01","0.8227898336974578","0.7656754649738281","0.8373480539756886","0.865345982142857"
"data_herg","SVC_LIN_FP","L1","2000","cdk_fp","Standard","0.01","0.8538992924796229","0.8037643390132524","0.880785100925616","0.8771484375000004"
"data_herg","SVC_LIN_FP","L2","2000","cdk_fp","Standard","0.01","0.8283648614025326","0.7741396592048113","0.8348388535742165","0.8761160714285703"
"data_herg","SVC_LIN_FP","L1","1000","rdkit_fp","MaxMin","0.1","0.8098938183041867","0.7798752645060699","0.8195048511207761","0.830301339285714"
"data_herg","SVC_LIN_FP","L2","1000","rdkit_fp","MaxMin","0.1","0.8145589995905708","0.7687103240895424","0.8283706925393107","0.846595982142859"
"data_herg","SVC_LIN_FP","L1","1500","rdkit_fp","MaxMin","0.1","0.8364148267143579","0.7860563537142227","0.854912456785993","0.8682756696428577"
"data_herg","SVC_LIN_FP","L2","1500","rdkit_fp","MaxMin","0.1","0.8258055624636503","0.7833556075286775","0.8161034905765584","0.877957589285715"
"data_herg","SVC_LIN_FP","L1","2000","rdkit_fp","MaxMin","0.1","0.8285597130709809","0.7792905668782713","0.8583416973346715","0.8480468750000003"
"data_herg","SVC_LIN_FP","L2","2000","rdkit_fp","MaxMin","0.1","0.8265280460498531","0.7783439135761221","0.841083974573436","0.8601562500000011"
"data_herg","SVC_LIN_FP","L1","1000","cdk_fp","MaxMin","0.1","0.8206623100602505","0.742343245350262","0.8560834169733467","0.8635602678571427"
"data_herg","SVC_LIN_FP","L2","1000","cdk_fp","MaxMin","0.1","0.8134076889999683","0.7564316739057804","0.8184454109512658","0.8653459821428584"
"data_herg","SVC_LIN_FP","L1","1500","cdk_fp","MaxMin","0.1","0.8265031665895362","0.7815458291569215","0.8565016170402586","0.8414620535714283"
"data_herg","SVC_LIN_FP","L2","1500","cdk_fp","MaxMin","0.1","0.8158748525428307","0.7618331662768685","0.829876212780194","0.8559151785714294"
"data_herg","SVC_LIN_FP","L1","2000","cdk_fp","MaxMin","0.1","0.8270787161151292","0.7548167947432907","0.8617988178878108","0.864620535714286"
"data_herg","SVC_LIN_FP","L2","2000","cdk_fp","MaxMin","0.1","0.8211960330391962","0.7613319968816122","0.8264748522359763","0.8757812500000001"
