"NAME [String]","METHOD [String]","gamma [Double]","scalerType [String]","featuresColumn [String]","C [Double]","rmse [Double]","rmse_1 [Double]","rmse_2 [Double]","rmse_3 [Double]"
"MouseRatTox","SVR_RBF_DESC","0.01","Standard","cdk_desc","0.1","1.3179484227373168","1.3668694478329677","1.335784423776503","1.2511913966024804"
"MouseRatTox","SVR_RBF_DESC","0.1","Standard","cdk_desc","0.1","1.3751112716763707","1.4266518972850828","1.390958223006744","1.3077236947372848"
"MouseRatTox","SVR_RBF_DESC","1.0","Standard","cdk_desc","0.1","1.4028830551044262","1.4560941993194576","1.4204544173111668","1.3321005486826547"
"MouseRatTox","SVR_RBF_DESC","1.0E-4","MaxMin","rdkit_desc","1.0","1.4025337076621174","1.4541598370332804","1.4234548353300667","1.3299864506230046"
"MouseRatTox","SVR_RBF_DESC","0.001","MaxMin","rdkit_desc","1.0","1.390192350900352","1.4403553457933953","1.4128462374269395","1.3173754694807214"
"MouseRatTox","SVR_RBF_DESC","0.01","MaxMin","rdkit_desc","1.0","1.3286976056450834","1.3769314571455384","1.3692129785150402","1.2399483812746717"
"MouseRatTox","SVR_RBF_DESC","0.1","MaxMin","rdkit_desc","1.0","1.2286246323558974","1.2713502038167963","1.2560824567949695","1.1584412364559262"
"MouseRatTox","SVR_RBF_DESC","1.0","MaxMin","rdkit_desc","1.0","1.1967821815570978","1.2416327343131868","1.1963206468266103","1.1523931635314957"
"MouseRatTox","SVR_RBF_DESC","1.0E-4","Standard","rdkit_desc","1.0","1.3682597726471213","1.4219066441605157","1.3933629426896172","1.2895097310912311"
"MouseRatTox","SVR_RBF_DESC","0.001","Standard","rdkit_desc","1.0","1.2909677815731777","1.3397334336349735","1.3327932790769195","1.20037663200764"
"MouseRatTox","SVR_RBF_DESC","0.01","Standard","rdkit_desc","1.0","1.182961395689915","1.2146502924169906","1.1760532286952305","1.1581806659575238"
"MouseRatTox","SVR_RBF_DESC","0.1","Standard","rdkit_desc","1.0","1.2568302109104985","1.2916610078469355","1.2741068146556918","1.2047228102288687"
"MouseRatTox","SVR_RBF_DESC","1.0","Standard","rdkit_desc","1.0","1.3866392032322379","1.4453310603339808","1.410078367252851","1.3045081821098823"
"MouseRatTox","SVR_RBF_DESC","1.0E-4","MaxMin","cdk_desc","1.0","1.402023774015056","1.4532348910822763","1.4224061780748143","1.3304302528880776"
