"NAME [String]","METHOD [String]","C [Double]","featuresColumn [String]","scalerType [String]","rmse [Double]","rmse_1 [Double]","rmse_2 [Double]","rmse_3 [Double]"
"LogP","SVR_LIN_DESC","0.01","rdkit_desc","Standard","2.0158597739255693","2.0121818630424295","2.0075140958533666","2.0278833628809116"
"LogP","SVR_LIN_DESC","0.1","rdkit_desc","Standard","2.0112319473059905","1.999477009705031","2.0089813956035036","2.0252374366094372"
"LogP","SVR_LIN_DESC","1.0","rdkit_desc","Standard","2.0059725860861066","1.9939233537187184","2.0069161427084903","2.017078261831111"
"LogP","SVR_LIN_DESC","1.0E-4","cdk_desc","Standard","2.1329911641379518","2.081517353098151","2.137142025305916","2.180314114009789"
"LogP","SVR_LIN_DESC","0.001","cdk_desc","Standard","2.0129889471456734","1.977455486581638","2.0326097741469926","2.02890158070839"
"LogP","SVR_LIN_DESC","0.01","cdk_desc","Standard","1.9899208636788641","1.9693428356666778","1.997330679788622","2.0030890755812925"
"LogP","SVR_LIN_DESC","0.1","cdk_desc","Standard","1.9907150111046077","1.9783198489214127","1.990471827844638","2.0033533565477724"
"LogP","SVR_LIN_DESC","1.0","cdk_desc","Standard","1.9929654216956962","1.9840424029005677","1.9921040415226292","2.0027498206638925"
"MalariaGSK","SVR_LIN_DESC","1.0E-4","rdkit_desc","MaxMin","1.433005171941119","1.422057043990335","1.4429409608871597","1.4340175109458624"
"MalariaGSK","SVR_LIN_DESC","0.001","rdkit_desc","MaxMin","0.808678206660154","0.8067935099323035","0.8192425405347731","0.7999985695133857"
"MalariaGSK","SVR_LIN_DESC","0.01","rdkit_desc","MaxMin","0.41300143556241425","0.4112452878500808","0.41542269302146745","0.4123363258156945"
"MalariaGSK","SVR_LIN_DESC","0.1","rdkit_desc","MaxMin","0.3614233295543101","0.35995487008955646","0.36040694442583476","0.3639081741475392"
"MalariaGSK","SVR_LIN_DESC","1.0","rdkit_desc","MaxMin","0.35828148158266293","0.35755944802287537","0.35460931281796615","0.3626756839071473"
"MalariaGSK","SVR_LIN_DESC","1.0E-4","cdk_desc","MaxMin","0.9184468256393367","0.9080891195946708","0.9433383120241953","0.9039130452991436"
"MalariaGSK","SVR_LIN_DESC","0.001","cdk_desc","MaxMin","0.5055128192205923","0.5041074695355858","0.5154339783477371","0.4969970097784541"
"MalariaGSK","SVR_LIN_DESC","0.01","cdk_desc","MaxMin","0.3894293827787189","0.38682996167310135","0.39039487019000607","0.3910633164730492"
"MalariaGSK","SVR_LIN_DESC","0.1","cdk_desc","MaxMin","0.37005906725105087","0.3648105558337278","0.364382066942149","0.38098457897727595"
"MalariaGSK","SVR_LIN_DESC","1.0","cdk_desc","MaxMin","0.36692955959021206","0.35920325764929084","0.3592343483940367","0.3823510727273087"
"MalariaGSK","SVR_LIN_DESC","1.0E-4","rdkit_desc","Standard","6.268216940173761","6.269066116572254","6.270050800570889","6.26553390337814"
"MalariaGSK","SVR_LIN_DESC","0.001","rdkit_desc","Standard","6.2674304306804105","6.268280678306786","6.268324489524899","6.265686124209546"
"MalariaGSK","SVR_LIN_DESC","0.01","rdkit_desc","Standard","6.266983817107749","6.268397539299859","6.267724083818051","6.264829828205336"
"MalariaGSK","SVR_LIN_DESC","0.1","rdkit_desc","Standard","6.266829394294465","6.268904485495935","6.267402034532571","6.264181662854887"
"MalariaGSK","SVR_LIN_DESC","1.0","rdkit_desc","Standard","6.266817423370543","6.269029609309934","6.267261141382614","6.264161519419082"
"MalariaGSK","SVR_LIN_DESC","1.0E-4","cdk_desc","Standard","6.267275606249636","6.269834422447307","6.268220896557468","6.263771499744131"
"MalariaGSK","SVR_LIN_DESC","0.001","cdk_desc","Standard","6.266817101898741","6.269854978916845","6.267364852742361","6.263231474037015"
