"NAME [String]","METHOD [String]","C [Double]","offset [Double]","featuresColumn [String]","degree [Int]","rmse [Double]","rmse_1 [Double]","rmse_2 [Double]","rmse_3 [Double]"
"MouseRatTox","SMILE_SVR_TAN","0.001","3.0","rdkit_fp","3","1.3226873759955133","1.3910809452974098","1.3081762636767207","1.268804919012409"
"MouseRatTox","SMILE_SVR_TAN","0.01","3.0","rdkit_fp","3","1.2650152843708204","1.3105025417063967","1.283241011300119","1.2013023001059462"
"MouseRatTox","SMILE_SVR_TAN","0.1","3.0","rdkit_fp","3","1.185053528530147","1.296121355413605","1.1477827020805997","1.1112565280962363"
"MouseRatTox","SMILE_SVR_TAN","1.0","3.0","rdkit_fp","3","1.1686813825952427","1.3184374222812765","1.0930046010537768","1.0946021244506745"
"MouseRatTox","SMILE_SVR_TAN","10.0","3.0","rdkit_fp","3","1.169844716542708","1.3184374222812774","1.0929852013638521","1.0981115259829946"
"MouseRatTox","SMILE_SVR_TAN","0.001","0.0","cdk_fp","3","1.3712251306236964","1.44515837332627","1.3456965481954923","1.3228204703493267"
"MouseRatTox","SMILE_SVR_TAN","0.01","0.0","cdk_fp","3","1.3599426587994277","1.4348883414742295","1.3337421026493164","1.3111975322747376"
"MouseRatTox","SMILE_SVR_TAN","0.1","0.0","cdk_fp","3","1.2980126191882329","1.3706516628919656","1.2902418326550726","1.2331443620176603"
"MouseRatTox","SMILE_SVR_TAN","1.0","0.0","cdk_fp","3","1.2173941768212677","1.2843449786083612","1.2279383929403545","1.1398991589150882"
"MouseRatTox","SMILE_SVR_TAN","10.0","0.0","cdk_fp","3","1.1902218856295448","1.3032068203437315","1.1574184935730356","1.1100403429718673"
"MouseRatTox","SMILE_SVR_TAN","0.001","1.0","cdk_fp","3","1.3565494549222183","1.4323092613809316","1.331030886865895","1.3063082165198288"
"MouseRatTox","SMILE_SVR_TAN","0.01","1.0","cdk_fp","3","1.2988861727453516","1.3697640741942683","1.2951470321323273","1.2317474119094594"
