"ProtocolName","LabelName","GroupValues","Size","Estimator","ROC_AUC","Direction","Threshold","Accuracy","Precision","Recall"
"Cholinergic, muscarinic M2","Ki","NA","149","Smile SVC Poly classification","0.8203980099502485","UP","8.085329584477156","0.8993288590604027","NaN","0.0"
"Cholinergic, muscarinic M2","Ki","NA","149","Weka RF classification","0.8069651741293533","UP","8.085329584477156","0.8993288590604027","NaN","0.0"
"Cholinergic, muscarinic M2","Ki","NA","149","Smile Bernoulli NB classification","0.7636815920398013","UP","8.085329584477156","0.22818791946308725","0.11538461538461539","1.0"
"Cholinergic, muscarinic M2","Ki","NA","149","Smile SVC RBF classification","0.7171641791044782","UP","8.085329584477156","0.8993288590604027","NaN","0.0"
"5-HT1A","Ki","NA","265","Smile SVC Tanimoto classification","0.9539748953974896","UP","8.217924601814198","0.9245283018867925","0.8","0.3076923076923077"
"5-HT1A","Ki","NA","265","Smile SVC Poly classification","0.9275828773736718","UP","8.217924601814198","0.9018867924528302","NaN","0.0"
"5-HT1A","Ki","NA","265","Smile Bernoulli NB classification","0.9237206308336013","UP","8.217924601814198","0.24528301886792453","0.11504424778761062","1.0"
"5-HT1A","Ki","NA","265","Weka RF on folded fp classification","0.8941100740263919","UP","8.217924601814198","0.8981132075471698","0.4","0.07692307692307693"
"5-HT1A","Ki","NA","265","Weka RF classification","0.8050370131960091","UP","8.217924601814198","0.8943396226415095","0.3333333333333333","0.07692307692307693"
"5-HT1A","Ki","NA","265","Smile SVC RBF classification","0.8015770840038628","UP","8.217924601814198","0.909433962264151","1.0","0.07692307692307693"
"adrenergic Beta2","Ki","NA","111","Smile SVC Tanimoto classification","0.8718181818181816","UP","7.983999863662395","0.954954954954955","0.875","0.6363636363636364"
"adrenergic Beta2","Ki","NA","111","Smile Bernoulli NB classification","0.8677272727272728","UP","7.983999863662395","0.45045045045045046","0.14285714285714285","0.9090909090909091"
"adrenergic Beta2","Ki","NA","111","Weka RF on folded fp classification","0.8459090909090909","UP","7.983999863662395","0.9099099099099099","1.0","0.09090909090909091"
"adrenergic Beta2","Ki","NA","111","Smile SVC Poly classification","0.8454545454545455","UP","7.983999863662395","0.9009009009009009","NaN","0.0"
"adrenergic Beta2","Ki","NA","111","Smile SVC RBF classification","0.8118181818181818","UP","7.983999863662395","0.9009009009009009","NaN","0.0"
"adrenergic Beta2","Ki","NA","111","Weka RF classification","0.7577272727272727","UP","7.983999863662395","0.9009009009009009","0.5","0.18181818181818182"
"Dopamine Transporter","Ki","NA","148","Smile SVC RBF classification","0.7755863539445627","UP","7.507951199268954","0.9256756756756757","1.0","0.21428571428571427"
"Dopamine Transporter","Ki","NA","148","Weka RF classification","0.7555970149253731","UP","7.507951199268954","0.9256756756756757","0.8","0.2857142857142857"
"Dopamine Transporter","Ki","NA","148","Weka RF on folded fp classification","0.7361407249466949","UP","7.507951199268954","0.9459459459459459","1.0","0.42857142857142855"
"Dopamine Transporter","Ki","NA","148","Smile SVC Tanimoto classification","0.6823027718550106","UP","7.507951199268954","0.9391891891891891","0.8571428571428571","0.42857142857142855"
"Dopamine Transporter","Ki","NA","148","Smile Bernoulli NB classification","0.6743070362473336","UP","7.507951199268954","0.32432432432432434","0.10909090909090909","0.8571428571428571"
"Dopamine Transporter","Ki","NA","148","Smile SVC Poly classification","0.6353944562899781","UP","7.507951199268954","0.9054054054054054","NaN","0.0"
"Cholinergic, muscarinic","Ki","NA","105","Smile SVC Poly classification","0.8873684210526317","UP","7.659272849355211","0.9047619047619048","NaN","0.0"
