activity_string,activity_value,activity_string_2,activity_value_2
13.8,13.8,ND,
441,441.0,51.3,51.3
NP,,NP,
9.11,9.11,71.4,71.4
2.96,2.96,NP,
0.109,0.109,ND,
NP,,NP,
1.46,1.46,1.24,1.24
NP,,NP,
41.3,41.3,16.9,16.9
ND,,5.37,5.37
2.21,2.21,5.96,5.96
9.94,9.94,25.3,25.3
19.3,19.3,ND,
ND,,ND,
ND,,NP,
NP,,NP,
43.6,43.6,840,840.0
11,11.0,62.7,62.7
96,96.0,NP,
123,123.0,62.8,62.8
1100,1100.0,NP,
169,169.0,77.5,77.5
NP,,NP,
NP,,1120,1120.0
NP,,191,191.0
261,261.0,13.9,13.9
NP,,NP,
NP,,139,139.0
380,380.0,1020,1020.0
29.4,29.4,NP,
277,277.0,NP,
146,146.0,ND,
0.259,0.259,2.72,2.72
1.52,1.52,7.45,7.45
NP,,803,803.0
NP,,276,276.0
NP,,3880,3880.0
625,625.0,894,894.0
3.78,3.78,24.3,24.3
119,119.0,324,324.0
702,702.0,86.3,86.3
ND,,NP,
735,735.0,NP,
20,20.0,32.4,32.4
131,131.0,NP,
9.51,9.51,33.6,33.6
NP,,57.3,57.3
74.4,74.4,912,912.0
94,94.0,49.6,49.6
4.57E-05,4.57E-5,1.56E-04,1.56E-4
NP,,182,182.0
33.7,33.7,250,250.0
NP,,1580,1580.0
NP,,2560,2560.0
ND,,ND,
NP,,39,39.0
ND,,NP,
NP,,NP,
NP,,NP,
NP,,NP,
NP,,NP,
NP,,ND,
NP,,NP,
NP,,NP,
NP,,NP,
NP,,NP,
NP,,NP,
NP,,NP,
NP,,NP,
NP,,NP,
NP,,NP,
NP,,NP,
NP,,NP,
NP,,NP,
NP,,NP,
NP,,NP,
NP,,NP,
NP,,NP,
NP,,NP,
NP,,NP,
NP,,NP,
NP,,NP,
NP,,NP,
NP,,NP,
NP,,NP,
NP,,NP,
NP,,NP,
NP,,NP,
NP,,NP,
NP,,NP,
NP,,NP,
4.16,4.16,70.4,70.4
NP,,NP,
NP,,NP,
NP,,NP,
NP,,NP,
6.21,6.21,NP,
NP,,NP,
NP,,NP,
NP,,NP,
NP,,NP,
NP,,NP,
NP,,NP,
NP,,NP,
NP,,NP,
NP,,NP,
NP,,NP,
NP,,NP,
NP,,NP,
NP,,NP,
NP,,NP,
NP,,NP,
NP,,NP,
NP,,NP,
NP,,NP,
NP,,NP,
NP,,NP,
NP,,NP,
NP,,NP,
NP,,NP,
NP,,NP,
NP,,NP,
NP,,NP,
NP,,NP,
NP,,NP,
NP,,NP,
NP,,NP,
NP,,NP,
NP,,NP,
NP,,NP,
101,101.0,1190,1190.0
NP,,2070,2070.0
57.2,57.2,38.6,38.6
59.2,59.2,174,174.0
309,309.0,NP,
44.6,44.6,NP,
269,269.0,NP,
29.7,29.7,966,966.0
NP,,NP,
24.1,24.1,NP,
NP,,NP,
NP,,NP,
NP,,NP,
NP,,1.37,1.37
40.8,40.8,141,141.0
7.62,7.62,89.5,89.5
NP,,93.9,93.9
113,113.0,77.7,77.7
433,433.0,429,429.0
315,315.0,1230,1230.0
214,214.0,1340,1340.0
2270,2270.0,NP,
NP,,NP,
NP,,25.8,25.8
NP,,195,195.0
12100,12100.0,2580,2580.0
470,470.0,NP,
98,98.0,54.3,54.3
8.35,8.35,585,585.0
22.4,22.4,NP,
NP,,12.5,12.5
3340,3340.0,NP,
183,183.0,906,906.0
2.47,2.47,26.7,26.7
NP,,NP,
NP,,32.9,32.9
24,24.0,NP,
1630,1630.0,NP,
614,614.0,NP,
334,334.0,838,838.0
1.39,1.39,NP,
1.73,1.73,NP,
2.07,2.07,NP,
156,156.0,NP,
NP,,NP,
NP,,NP,
NP,,NP,
NP,,NP,
